Year,Ticker,Beta_t,Vol_t,EoverP_t,DoverP_t,Beta_t1,RealisedReturn_t1
2004,HD,1.0608647053635023,"Ticker
HD    0.185797
dtype: float64","Ticker
HD    0.56366
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
HD    0.012436
Name: 2004-12-31 00:00:00, dtype: float64",1.2898122795275426,"Ticker
HD   -0.043464
dtype: float64"
2004,HPQ,1.3270724817710793,"Ticker
HPQ    0.270557
dtype: float64","Ticker
HPQ    0.433018
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
HPQ    0.024203
Name: 2004-12-31 00:00:00, dtype: float64",0.7186325685358863,"Ticker
HPQ    0.383133
dtype: float64"
2004,IBM,0.7699697947305741,"Ticker
IBM    0.14757
dtype: float64","Ticker
IBM    0.114691
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
IBM    0.01312
Name: 2004-12-31 00:00:00, dtype: float64",0.8652038404986815,"Ticker
IBM   -0.158322
dtype: float64"
2004,INTC,1.449314689777543,"Ticker
INTC    0.303108
dtype: float64","Ticker
INTC   -0.331364
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
INTC    0.011834
Name: 2004-12-31 00:00:00, dtype: float64",1.1147102150998256,"Ticker
INTC    0.081354
dtype: float64"
2004,JNJ,0.4672338463979586,"Ticker
JNJ    0.148671
dtype: float64","Ticker
JNJ    0.2547
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
JNJ    0.031023
Name: 2004-12-31 00:00:00, dtype: float64",0.5574909799765064,"Ticker
JNJ   -0.033609
dtype: float64"
2004,KO,0.6770937295253717,"Ticker
KO    0.170975
dtype: float64","Ticker
KO    0.220636
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
KO    0.044304
Name: 2004-12-31 00:00:00, dtype: float64",0.6440528704861768,"Ticker
KO   -0.006611
dtype: float64"
2004,MDT,0.5575842115208745,"Ticker
MDT    0.216449
dtype: float64","Ticker
MDT    0.111698
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
MDT    0.007519
Name: 2004-12-31 00:00:00, dtype: float64",0.44079464510251204,"Ticker
MDT    0.167141
dtype: float64"
2004,MO,0.636453107959741,"Ticker
MO    0.22208
dtype: float64","Ticker
MO    1.390197
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
MO    0.657778
Name: 2004-12-31 00:00:00, dtype: float64",0.8619005542911371,"Ticker
MO    0.277104
dtype: float64"
2004,MRK,0.6661234454279077,"Ticker
MRK    0.349926
dtype: float64","Ticker
MRK    0.464122
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
MRK    0.096555
Name: 2004-12-31 00:00:00, dtype: float64",0.6131085387207328,"Ticker
MRK    0.040417
dtype: float64"
2004,MS,1.4483920352685429,"Ticker
MS    0.235471
dtype: float64","Ticker
MS    0.286194
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
MS    0.033551
Name: 2004-12-31 00:00:00, dtype: float64",1.1036381093510932,"Ticker
MS    0.042606
dtype: float64"
2004,MSFT,0.8541610021417524,"Ticker
MSFT    0.171338
dtype: float64","Ticker
MSFT    0.700543
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
MSFT    0.171075
Name: 2004-12-31 00:00:00, dtype: float64",0.7774526961654049,"Ticker
MSFT   -0.009383
dtype: float64"
2004,ORCL,1.338097758272898,"Ticker
ORCL    0.298943
dtype: float64","Ticker
ORCL    0.384923
Name: 2004-12-31 00:00:00, dtype: float64",,0.9377822247027741,"Ticker
ORCL   -0.110058
dtype: float64"
2004,PEP,0.5900690266704928,"Ticker
PEP    0.145238
dtype: float64","Ticker
PEP    0.228729
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
PEP    0.028591
Name: 2004-12-31 00:00:00, dtype: float64",0.5104544225883917,"Ticker
PEP    0.152391
dtype: float64"
2004,PFE,0.9694535904781031,"Ticker
PFE    0.237973
dtype: float64","Ticker
PFE    0.126092
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
PFE    0.058949
Name: 2004-12-31 00:00:00, dtype: float64",0.7855581620233087,"Ticker
PFE   -0.106292
dtype: float64"
2004,PG,0.603441832233175,"Ticker
PG    0.145559
dtype: float64","Ticker
PG    0.201569
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
PG    0.031275
Name: 2004-12-31 00:00:00, dtype: float64",0.7646086883134926,"Ticker
PG    0.07188
dtype: float64"
2004,T,0.8132298888963867,"Ticker
T    0.191019
dtype: float64","Ticker
T    0.360886
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
T    0.277196
Name: 2004-12-31 00:00:00, dtype: float64",0.6444799282670229,"Ticker
T    0.019947
dtype: float64"
2004,UNH,0.7948013273703008,"Ticker
UNH    0.245425
dtype: float64","Ticker
UNH    0.684193
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
UNH    0.00043
Name: 2004-12-31 00:00:00, dtype: float64",0.9601328894198,"Ticker
UNH    0.412247
dtype: float64"
2004,WFC,0.7107448176561618,"Ticker
WFC    0.121345
dtype: float64","Ticker
WFC    0.315863
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
WFC    0.052833
Name: 2004-12-31 00:00:00, dtype: float64",0.7973679549715686,"Ticker
WFC    0.04483
dtype: float64"
2004,WMT,0.6860513248658633,"Ticker
WMT    0.165147
dtype: float64","Ticker
WMT    0.200883
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
WMT    0.01488
Name: 2004-12-31 00:00:00, dtype: float64",0.7477731589092144,"Ticker
WMT   -0.102974
dtype: float64"
2004,XOM,0.7460386899183484,"Ticker
XOM    0.155142
dtype: float64","Ticker
XOM    0.290909
Name: 2004-12-31 00:00:00, dtype: float64","Ticker
XOM    0.040897
Name: 2004-12-31 00:00:00, dtype: float64",1.4094019815070342,"Ticker
XOM    0.117863
dtype: float64"
2005,AIG,0.9487182321422831,"Ticker
AIG    0.22135
dtype: float64","Ticker
AIG    0.0049
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
AIG    0.013146
Name: 2005-12-30 00:00:00, dtype: float64",0.8489348832546849,"Ticker
AIG    0.060512
dtype: float64"
2005,AMGN,1.0594383163334737,"Ticker
AMGN    0.261643
dtype: float64","Ticker
AMGN    0.201351
Name: 2005-12-30 00:00:00, dtype: float64",,0.7604583504422463,"Ticker
AMGN   -0.133782
dtype: float64"
2005,BAC,0.8152554432742575,"Ticker
BAC    0.125711
dtype: float64","Ticker
BAC    0.109628
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
BAC    0.062177
Name: 2005-12-30 00:00:00, dtype: float64",0.8132856676177304,"Ticker
BAC    0.207016
dtype: float64"
2005,C,0.7071452051011066,"Ticker
C    0.120421
dtype: float64","Ticker
C    0.020001
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
C    0.055611
Name: 2005-12-30 00:00:00, dtype: float64",0.9094990231098952,"Ticker
C    0.195643
dtype: float64"
2005,CSCO,0.8957593907297144,"Ticker
CSCO    0.202523
dtype: float64","Ticker
CSCO    0.217364
Name: 2005-12-30 00:00:00, dtype: float64",,1.2990180241966123,"Ticker
CSCO    0.596378
dtype: float64"
2005,CVX,1.2255512969415092,"Ticker
CVX    0.223412
dtype: float64","Ticker
CVX    0.32489
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
CVX    0.064978
Name: 2005-12-30 00:00:00, dtype: float64",0.8871859143022609,"Ticker
CVX    0.337025
dtype: float64"
2005,DELL,,,,,,
2005,GE,0.8811144205564527,"Ticker
GE    0.135697
dtype: float64","Ticker
GE    0.061056
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
GE    0.041999
Name: 2005-12-30 00:00:00, dtype: float64",0.747675855418574,"Ticker
GE    0.093349
dtype: float64"
2005,GOOG,0.8711583556767949,"Ticker
GOOG    0.32375
dtype: float64","Ticker
GOOG    0.870279
Name: 2005-12-30 00:00:00, dtype: float64",,1.3470087305459106,"Ticker
GOOG    0.109965
dtype: float64"
2005,GS,1.1387582145992208,"Ticker
GS    0.184546
dtype: float64","Ticker
GS    0.45814
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
GS    0.010642
Name: 2005-12-30 00:00:00, dtype: float64",1.6632899524960625,"Ticker
GS    0.573933
dtype: float64"
2005,HD,1.289809641391834,"Ticker
HD    0.199591
dtype: float64","Ticker
HD    0.589272
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
HD    0.016002
Name: 2005-12-30 00:00:00, dtype: float64",1.0220548663847804,"Ticker
HD    0.010064
dtype: float64"
2005,HPQ,0.7186303565036067,"Ticker
HPQ    0.273118
dtype: float64","Ticker
HPQ    0.31307
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
HPQ    0.017499
Name: 2005-12-30 00:00:00, dtype: float64",1.177257089381027,"Ticker
HPQ    0.452198
dtype: float64"
2005,IBM,0.8652118240470964,"Ticker
IBM    0.176806
dtype: float64","Ticker
IBM    0.136265
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
IBM    0.01737
Name: 2005-12-30 00:00:00, dtype: float64",0.8314574373484657,"Ticker
IBM    0.197741
dtype: float64"
2005,INTC,1.1147159443717307,"Ticker
INTC    0.205616
dtype: float64","Ticker
INTC   -0.306434
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
INTC    0.021888
Name: 2005-12-30 00:00:00, dtype: float64",1.4520045709177931,"Ticker
INTC   -0.171986
dtype: float64"
2005,JNJ,0.5574964927467565,"Ticker
JNJ    0.138227
dtype: float64","Ticker
JNJ    0.263558
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
JNJ    0.037379
Name: 2005-12-30 00:00:00, dtype: float64",0.4208077801046445,"Ticker
JNJ    0.124347
dtype: float64"
2005,KO,0.6440622915778892,"Ticker
KO    0.119342
dtype: float64","Ticker
KO    0.222104
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
KO    0.049951
Name: 2005-12-30 00:00:00, dtype: float64",0.6109738002529228,"Ticker
KO    0.231046
dtype: float64"
2005,MDT,0.4407949340776197,"Ticker
MDT    0.150575
dtype: float64","Ticker
MDT    0.095702
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
MDT    0.00957
Name: 2005-12-30 00:00:00, dtype: float64",0.40109955604320996,"Ticker
MDT   -0.062863
dtype: float64"
2005,MO,0.8619041962561755,"Ticker
MO    0.179924
dtype: float64","Ticker
MO    1.088554
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
MO    0.558888
Name: 2005-12-30 00:00:00, dtype: float64",0.5894736231030815,"Ticker
MO    0.198659
dtype: float64"
2005,MRK,0.6131089044944463,"Ticker
MRK    0.271442
dtype: float64","Ticker
MRK    0.446092
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
MRK    0.094041
Name: 2005-12-30 00:00:00, dtype: float64",0.8426856111671379,"Ticker
MRK    0.426772
dtype: float64"
2005,MS,1.1036349067245532,"Ticker
MS    0.212221
dtype: float64","Ticker
MS    0.274499
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
MS    0.034755
Name: 2005-12-30 00:00:00, dtype: float64",1.524007122842668,"Ticker
MS    0.459199
dtype: float64"
2005,MSFT,0.7774616153668124,"Ticker
MSFT    0.143829
dtype: float64","Ticker
MSFT    0.707177
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
MSFT    0.017488
Name: 2005-12-30 00:00:00, dtype: float64",0.7576608053480794,"Ticker
MSFT    0.158393
dtype: float64"
2005,ORCL,0.9377890942016265,"Ticker
ORCL    0.22615
dtype: float64","Ticker
ORCL    0.432526
Name: 2005-12-30 00:00:00, dtype: float64",,0.9566641832784268,"Ticker
ORCL    0.403768
dtype: float64"
2005,PEP,0.5104556255054721,"Ticker
PEP    0.117718
dtype: float64","Ticker
PEP    0.198482
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
PEP    0.02948
Name: 2005-12-30 00:00:00, dtype: float64",0.33848479922590935,"Ticker
PEP    0.07864
dtype: float64"
2005,PFE,0.7855631766667511,"Ticker
PFE    0.227459
dtype: float64","Ticker
PFE    0.141089
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
PFE    0.07372
Name: 2005-12-30 00:00:00, dtype: float64",0.8400510557826603,"Ticker
PFE    0.15259
dtype: float64"
2005,PG,0.7646047841947565,"Ticker
PG    0.146073
dtype: float64","Ticker
PG    0.188052
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
PG    0.032536
Name: 2005-12-30 00:00:00, dtype: float64",0.5615591079338567,"Ticker
PG    0.133834
dtype: float64"
2005,T,0.6444761119858816,"Ticker
T    0.128006
dtype: float64","Ticker
T    0.353828
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
T    0.280458
Name: 2005-12-30 00:00:00, dtype: float64",0.8361925958351244,"Ticker
T    0.555844
dtype: float64"
2005,UNH,0.9601351006830421,"Ticker
UNH    0.205774
dtype: float64","Ticker
UNH    0.484471
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
UNH    0.000304
Name: 2005-12-30 00:00:00, dtype: float64",0.587591118980711,"Ticker
UNH   -0.134876
dtype: float64"
2005,WFC,0.7973646443462934,"Ticker
WFC    0.121851
dtype: float64","Ticker
WFC    0.30231
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
WFC    0.054372
Name: 2005-12-30 00:00:00, dtype: float64",0.6710943333515247,"Ticker
WFC    0.168234
dtype: float64"
2005,WMT,0.7477693305356811,"Ticker
WMT    0.150687
dtype: float64","Ticker
WMT    0.223943
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
WMT    0.01914
Name: 2005-12-30 00:00:00, dtype: float64",0.8658190684830557,"Ticker
WMT    0.001327
dtype: float64"
2005,XOM,1.4093961014125018,"Ticker
XOM    0.231053
dtype: float64","Ticker
XOM    0.260237
Name: 2005-12-30 00:00:00, dtype: float64","Ticker
XOM    0.039346
Name: 2005-12-30 00:00:00, dtype: float64",0.9448739588072479,"Ticker
XOM    0.390797
dtype: float64"
2006,AIG,0.8489318946272321,"Ticker
AIG    0.132593
dtype: float64","Ticker
AIG    0.00462
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
AIG    0.014199
Name: 2006-12-29 00:00:00, dtype: float64",1.1253833023834283,"Ticker
AIG   -0.177123
dtype: float64"
2006,AMGN,0.7604611338146867,"Ticker
AMGN    0.185315
dtype: float64","Ticker
AMGN    0.232449
Name: 2006-12-29 00:00:00, dtype: float64",,0.6828692144174113,"Ticker
AMGN   -0.320158
dtype: float64"
2006,BAC,0.8132791512275394,"Ticker
BAC    0.126126
dtype: float64","Ticker
BAC    0.090826
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
BAC    0.057478
Name: 2006-12-29 00:00:00, dtype: float64",1.0948851976858498,"Ticker
BAC   -0.188295
dtype: float64"
2006,C,0.9095005068452027,"Ticker
C    0.143014
dtype: float64","Ticker
C    0.016728
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
C    0.051796
Name: 2006-12-29 00:00:00, dtype: float64",1.3587525304736778,"Ticker
C   -0.447457
dtype: float64"
2006,COP,1.097997589945041,"Ticker
COP    0.250254
dtype: float64","Ticker
COP    0.269757
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
COP    0.037531
Name: 2006-12-29 00:00:00, dtype: float64",1.0660162998320488,"Ticker
COP    0.25415
dtype: float64"
2006,CSCO,1.29901951764078,"Ticker
CSCO    0.283286
dtype: float64","Ticker
CSCO    0.136161
Name: 2006-12-29 00:00:00, dtype: float64",,1.0464602335955184,"Ticker
CSCO   -0.009513
dtype: float64"
2006,CVX,0.8871882154151465,"Ticker
CVX    0.201466
dtype: float64","Ticker
CVX    0.242995
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
CVX    0.055819
Name: 2006-12-29 00:00:00, dtype: float64",1.0973681756648719,"Ticker
CVX    0.3055
dtype: float64"
2006,GE,0.7476791543610789,"Ticker
GE    0.12462
dtype: float64","Ticker
GE    0.055843
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
GE    0.043478
Name: 2006-12-29 00:00:00, dtype: float64",0.8946791866181197,"Ticker
GE    0.026844
dtype: float64"
2006,GOOG,1.3470083333675935,"Ticker
GOOG    0.336623
dtype: float64","Ticker
GOOG    0.78406
Name: 2006-12-29 00:00:00, dtype: float64",,0.8245502240082775,"Ticker
GOOG    0.50165
dtype: float64"
2006,GS,1.6632877009005917,"Ticker
GS    0.234416
dtype: float64","Ticker
GS    0.29108
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
GS    0.00879
Name: 2006-12-29 00:00:00, dtype: float64",1.7571372587789822,"Ticker
GS    0.085921
dtype: float64"
2006,HD,1.0220585324593663,"Ticker
HD    0.202175
dtype: float64","Ticker
HD    0.5834
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
HD    0.026734
Name: 2006-12-29 00:00:00, dtype: float64",1.0014582242966208,"Ticker
HD   -0.311426
dtype: float64"
2006,HPQ,1.1772483105432756,"Ticker
HPQ    0.260076
dtype: float64","Ticker
HPQ    0.215584
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
HPQ    0.01205
Name: 2006-12-29 00:00:00, dtype: float64",0.9317743258468241,"Ticker
HPQ    0.234061
dtype: float64"
2006,IBM,0.8314643319515886,"Ticker
IBM    0.141819
dtype: float64","Ticker
IBM    0.113768
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
IBM    0.020452
Name: 2006-12-29 00:00:00, dtype: float64",0.7497512517538342,"Ticker
IBM    0.12836
dtype: float64"
2006,INTC,1.4520058335368164,"Ticker
INTC    0.265337
dtype: float64","Ticker
INTC   -0.370083
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
INTC    0.033043
Name: 2006-12-29 00:00:00, dtype: float64",1.1167882924374053,"Ticker
INTC    0.342319
dtype: float64"
2006,JNJ,0.42080526995253253,"Ticker
JNJ    0.11361
dtype: float64","Ticker
JNJ    0.23441
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
JNJ    0.037938
Name: 2006-12-29 00:00:00, dtype: float64",0.3843367048416424,"Ticker
JNJ    0.036119
dtype: float64"
2006,KO,0.6109725021003016,"Ticker
KO    0.107206
dtype: float64","Ticker
KO    0.180419
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
KO    0.044924
Name: 2006-12-29 00:00:00, dtype: float64",0.5270924224360866,"Ticker
KO    0.304542
dtype: float64"
2006,MDT,0.40109798092223387,"Ticker
MDT    0.224479
dtype: float64","Ticker
MDT    0.102122
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
MDT    0.011655
Name: 2006-12-29 00:00:00, dtype: float64",0.5834704082909131,"Ticker
MDT   -0.052209
dtype: float64"
2006,MRK,0.8426706130902901,"Ticker
MRK    0.188361
dtype: float64","Ticker
MRK    0.312658
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
MRK    0.065912
Name: 2006-12-29 00:00:00, dtype: float64",0.7399748735522993,"Ticker
MRK    0.373539
dtype: float64"
2006,MS,1.5240149362289581,"Ticker
MS    0.199618
dtype: float64","Ticker
MS    0.188116
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
MS    0.023818
Name: 2006-12-29 00:00:00, dtype: float64",1.7690677637170722,"Ticker
MS   -0.202864
dtype: float64"
2006,MSFT,0.7576538337644675,"Ticker
MSFT    0.20566
dtype: float64","Ticker
MSFT    0.610481
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
MSFT    0.017456
Name: 2006-12-29 00:00:00, dtype: float64",0.9301678284440107,"Ticker
MSFT    0.208429
dtype: float64"
2006,ORCL,0.9566652750861157,"Ticker
ORCL    0.245958
dtype: float64","Ticker
ORCL    0.308118
Name: 2006-12-29 00:00:00, dtype: float64",,1.170094236819697,"Ticker
ORCL    0.317386
dtype: float64"
2006,PEP,0.33848724252401136,"Ticker
PEP    0.111901
dtype: float64","Ticker
PEP    0.184012
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
PEP    0.03139
Name: 2006-12-29 00:00:00, dtype: float64",0.5636596887873911,"Ticker
PEP    0.238808
dtype: float64"
2006,PFE,0.8400501865013346,"Ticker
PFE    0.208368
dtype: float64","Ticker
PFE    0.12241
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
PFE    0.080792
Name: 2006-12-29 00:00:00, dtype: float64",0.8045833375942804,"Ticker
PFE   -0.081356
dtype: float64"
2006,PG,0.561563503873252,"Ticker
PG    0.133521
dtype: float64","Ticker
PG    0.165855
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
PG    0.031855
Name: 2006-12-29 00:00:00, dtype: float64",0.5062279725072436,"Ticker
PG    0.166427
dtype: float64"
2006,SLB,1.4931416429232578,"Ticker
SLB    0.357644
dtype: float64","Ticker
SLB    0.069205
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
SLB    0.01173
Name: 2006-12-29 00:00:00, dtype: float64",1.2036077044499875,"Ticker
SLB    0.571092
dtype: float64"
2006,T,0.8361931677682384,"Ticker
T    0.168839
dtype: float64","Ticker
T    0.227419
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
T    0.185842
Name: 2006-12-29 00:00:00, dtype: float64",0.9248364977762079,"Ticker
T    0.220642
dtype: float64"
2006,UNH,0.5875927978956822,"Ticker
UNH    0.265301
dtype: float64","Ticker
UNH    0.560002
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
UNH    0.000704
Name: 2006-12-29 00:00:00, dtype: float64",0.526999084645136,"Ticker
UNH    0.083787
dtype: float64"
2006,WFC,0.671093244781549,"Ticker
WFC    0.128528
dtype: float64","Ticker
WFC    0.258775
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
WFC    0.050266
Name: 2006-12-29 00:00:00, dtype: float64",1.2476667760553068,"Ticker
WFC   -0.121645
dtype: float64"
2006,WMT,0.865821322494521,"Ticker
WMT    0.169323
dtype: float64","Ticker
WMT    0.223647
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
WMT    0.021409
Name: 2006-12-29 00:00:00, dtype: float64",0.8357784993354889,"Ticker
WMT    0.048909
dtype: float64"
2006,XOM,0.9448702718009087,"Ticker
XOM    0.187815
dtype: float64","Ticker
XOM    0.187113
Name: 2006-12-29 00:00:00, dtype: float64","Ticker
XOM    0.031765
Name: 2006-12-29 00:00:00, dtype: float64",1.149277757332153,"Ticker
XOM    0.242879
dtype: float64"
2007,AAPL,1.165650546219984,"Ticker
AAPL    0.376796
dtype: float64","Ticker
AAPL    1.080104
Name: 2007-12-31 00:00:00, dtype: float64",,0.9228893227910578,"Ticker
AAPL   -0.569114
dtype: float64"
2007,AIG,1.1253821095671965,"Ticker
AIG    0.244462
dtype: float64","Ticker
AIG    0.005615
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
AIG    0.019995
Name: 2007-12-31 00:00:00, dtype: float64",2.20017157007685,"Ticker
AIG   -0.972526
dtype: float64"
2007,BAC,1.0948881931331398,"Ticker
BAC    0.219289
dtype: float64","Ticker
BAC    0.111895
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
BAC    0.080164
Name: 2007-12-31 00:00:00, dtype: float64",1.775811540755204,"Ticker
BAC   -0.63093
dtype: float64"
2007,C,1.358751097443334,"Ticker
C    0.287755
dtype: float64","Ticker
C    0.030275
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
C    0.103307
Name: 2007-12-31 00:00:00, dtype: float64",1.8967123035873228,"Ticker
C   -0.759453
dtype: float64"
2007,COP,1.0660178674762448,"Ticker
COP    0.255596
dtype: float64","Ticker
COP    0.215092
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
COP    0.034082
Name: 2007-12-31 00:00:00, dtype: float64",1.18971454611542,"Ticker
COP   -0.397913
dtype: float64"
2007,CSCO,1.0464586413652008,"Ticker
CSCO    0.272915
dtype: float64","Ticker
CSCO    0.137468
Name: 2007-12-31 00:00:00, dtype: float64",,1.024065564078697,"Ticker
CSCO   -0.397857
dtype: float64"
2007,CVX,1.0973657249356739,"Ticker
CVX    0.231357
dtype: float64","Ticker
CVX    0.186132
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
CVX    0.048075
Name: 2007-12-31 00:00:00, dtype: float64",1.1415350402520867,"Ticker
CVX   -0.183292
dtype: float64"
2007,GE,0.8946797821800753,"Ticker
GE    0.182151
dtype: float64","Ticker
GE    0.054383
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
GE    0.047275
Name: 2007-12-31 00:00:00, dtype: float64",0.9740383608018774,"Ticker
GE   -0.539431
dtype: float64"
2007,GOOG,0.8245489838397172,"Ticker
GOOG    0.242681
dtype: float64","Ticker
GOOG    0.522132
Name: 2007-12-31 00:00:00, dtype: float64",,0.8853727575200926,"Ticker
GOOG   -0.555085
dtype: float64"
2007,GS,1.7571370796349495,"Ticker
GS    0.346786
dtype: float64","Ticker
GS    0.268049
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
GS    0.008717
Name: 2007-12-31 00:00:00, dtype: float64",1.3853082452685737,"Ticker
GS   -0.604189
dtype: float64"
2007,HD,1.0014537304775817,"Ticker
HD    0.24827
dtype: float64","Ticker
HD    0.847259
Name: 2007-12-31 00:00:00, dtype: float64","Ticker
HD    0.051767
Name: 2007-12-31 00:00:00, dtype: float64",0.9759244526927696,"Ticker
HD   -0.113872
dtype: float64"
